מפעל,רכיב עלות,סוג תמחיר,מרכז עבודה,תאריך עדכון, עלות לסוג תמחיר 1 , עלות לסוג תמחיר 5 , עלות לסוג תמחיר 6 ,עלות לסוג תמחיר 7,מחלקה,,,
100,B11,5,WC709,, -   , 22.66 ,,,הרכבה 3,,,
100,B11,5,WC752,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WC777,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WC790,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WCASS204,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WCASS209,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WCASS215,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WCASS223,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WCASS224,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WCASS702,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WCASS703,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WCMO01,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B11,5,WCUSW04,, -   , 22.66 ,,,אוטומטית דלתון,,,
100,B12,1,WC411,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WC412,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WC413,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WC450,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WC500,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WC512,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WC525,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WC709,, 3.88 , -   ,,,הרכבה 3,,,
100,B12,1,WC752,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WC777,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WC790,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WCASS204,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WCASS209,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WCASS215,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WCASS223,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WCASS224,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WCASS702,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WCASS703,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WCMO01,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,1,WCUSW04,, 12.71 , -   ,,,אוטומטית דלתון,,,
100,B12,5,WC411,, -   , 3.93 ,,,אוטומטית דלתון,,,
